date,n_open,day_pct,cum_pct,deploy_pct,detail
2026-09-01,7,-0.0706,-0.07059999999999844,21.0,COLO +1.00% (held); PSCH -0.22% (closed); BAC -1.16% (opened); PSCC -0.07% (round trip); JPM -0.85% (round trip); IHF -0.66% (opened); EWG -0.39% (round trip); COPX +0.00% (opened); GDX +0.00% (opened); GDXJ +0.00% (opened); SILJ +0.00% (opened)
2026-09-02,8,0.4836,0.41265857840000475,24.0,COLO +0.97% (held); BAC +0.98% (held); IHF +0.38% (held); COPX +0.74% (held); GDX +3.13% (held); GDXJ +4.72% (held); SILJ +5.36% (held); JPM -0.11% (round trip); PSCH -0.04% (opened); XLF -0.01% (round trip)
2026-09-03,11,0.4069,0.8212376861555182,33.0,COLO +1.61% (held); BAC +0.70% (held); IHF +0.61% (held); COPX +1.50% (held); GDX +3.95% (held); GDXJ +3.34% (held); SILJ +2.37% (held); PSCH -0.50% (closed); CRWD +3.12% (opened); RSP +0.11% (opened); PSP -0.17% (opened); JPM +1.06% (opened); SNOW -4.12% (round trip)
2026-09-04,8,-0.3909,0.42712746804032253,24.0,COLO +0.10% (held); BAC -0.52% (closed); IHF -1.00% (held); COPX -0.65% (held); GDX -2.20% (held); GDXJ -2.49% (held); SILJ -2.19% (held); CRWD -0.87% (held); RSP -0.65% (closed); PSP -1.11% (closed); JPM -1.44% (closed); WEAT +0.00% (opened)
2026-09-08,5,0.1273,0.5549712013071417,15.0,COLO +1.86% (closed); COPX +4.10% (held); GDX -0.86% (held); GDXJ -1.15% (held); SILJ -0.41% (held); WEAT +1.77% (held); MICC +0.05% (closed); PSP -0.99% (closed); BAC -0.46% (closed); KO +0.33% (closed)
2026-09-09,5,0.0622,0.6175163933943351,15.0,COPX +0.94% (held); GDX +1.08% (held); GDXJ +1.34% (held); SILJ +1.24% (held); WEAT -2.52% (held)
2026-09-10,6,-0.6326,-0.01899001531028288,24.0,COPX -6.79% (closed); GDX -3.46% (held); GDXJ -3.98% (held); SILJ -4.04% (held); WEAT +1.64% (held); IHF -0.51% (round trip); CRWD +0.07% (round trip); KO -1.36% (opened); MSFT -0.03% (round trip); MICC +0.10% (opened)
2026-09-11,13,-0.2541,-0.2730417616813807,48.0,GDX +1.11% (held); GDXJ +1.06% (held); SILJ -0.52% (held); WEAT -1.72% (held); KO +0.52% (held); MICC +0.77% (held); COPX -1.29% (round trip); EWS -0.18% (round trip); NVDA -1.14% (round trip); MSFT +0.03% (opened); XLK +0.28% (opened); JPM -0.85% (opened); BAC -1.03% (opened); EPU -0.90% (round trip); ARKG -1.00% (round trip); IHF -0.76% (round trip); CRWD -1.80% (round trip); SKYY -0.86% (round trip); JPXN -0.22% (opened); SLX +0.27% (opened); V -0.65% (opened)
2026-09-14,13,0.0675,-0.20572606487051504,48.0,GDX -3.66% (closed); GDXJ -3.81% (closed); SILJ -4.36% (closed); WEAT -0.30% (held); KO +1.20% (held); MICC +1.32% (held); MSFT +1.97% (held); XLK -2.53% (closed); JPM -1.71% (held); BAC -5.14% (closed); JPXN -0.06% (held); SLX -2.66% (closed); V +1.30% (held); IGV +2.93% (opened); JNJ -1.69% (round trip); CRWD +7.76% (round trip); MA -0.62% (opened); CIBR +3.56% (round trip); IHF +0.17% (opened); SKYY +1.72% (opened); ARKG +2.51% (opened); EWS -0.03% (round trip); PLTR +0.66% (round trip); BDRY +0.00% (opened)
2026-09-15,12,-0.1479,-0.353321796020567,42.0,WEAT +0.57% (held); KO -0.72% (held); MICC -2.71% (closed); MSFT -1.64% (held); JPM +0.67% (held); JPXN -1.04% (held); V +0.09% (held); IGV -1.02% (held); MA -0.20% (held); IHF -1.23% (closed); SKYY -0.25% (held); ARKG +1.94% (held); BDRY +0.20% (held); KO -1.00% (closed); PBF +2.03% (opened)
